Type,Iteration,Success,Time,Frames,KeyPresses,StatesExplored
RRTUCT,0,0,7603,0,2,27543
RRTUCT,1,0,10166,0,2,22492
RRTUCT,2,0,9071,282,2,19030
RRTUCT,3,1,7685,1404,96,18989
RRTUCT,4,0,8428,200,1,26067
RRTUCT,5,0,9649,0,1,20064
RRTUCT,6,0,14289,454,8,22131
RRTUCT,7,0,15090,0,1,19567
RRTUCT,8,0,8090,306,1,26580
RRTUCT,9,0,8156,306,3,24330
RRTUCT,10,0,11007,0,2,13499
RRTUCT,11,0,10678,0,2,21844
RRTUCT,12,0,9448,0,2,20103
RRTUCT,13,0,12288,0,3,20744
RRTUCT,14,0,13108,166,1,21145
RRTUCT,15,0,9845,0,1,19745
RRTUCT,16,1,5588,1214,76,12476
RRTUCT,17,0,9926,0,2,20815
RRTUCT,18,0,11483,0,1,19340
RRTUCT,19,0,10092,0,1,16816
RRTUCT,20,0,9068,0,2,24951
