Type,Iteration,Success,Time,Frames,KeyPresses,StatesExplored
RRTASTAR,0,1,1097,784,61,6283
RRTASTAR,1,1,428,839,66,2523
RRTASTAR,2,1,828,802,66,4747
RRTASTAR,3,1,893,1064,83,3823
RRTASTAR,4,1,1890,822,75,9043
RRTASTAR,5,1,1232,900,75,4319
RRTASTAR,6,1,906,947,67,5199
RRTASTAR,7,1,399,765,57,2362
RRTASTAR,8,1,477,843,53,2909
RRTASTAR,9,1,538,746,57,3202
RRTASTAR,10,1,974,830,57,4543
RRTASTAR,11,0,3758,0,1,18885
RRTASTAR,12,1,605,816,62,3582
RRTASTAR,13,1,1489,907,80,7214
RRTASTAR,14,1,2684,882,79,15184
RRTASTAR,15,1,789,986,75,4469
RRTASTAR,16,0,2659,13,1,10598
RRTASTAR,17,1,1103,909,86,5200
RRTASTAR,18,1,964,839,64,3232
RRTASTAR,19,1,803,870,60,4697
RRTASTAR,20,1,1926,803,65,10432
RRTASTAR,21,1,566,696,45,3366
RRTASTAR,22,1,398,762,58,2392
RRTASTAR,23,1,535,735,60,3356
RRTASTAR,24,1,636,823,63,3970
RRTASTAR,25,1,606,852,69,2333
RRTASTAR,26,1,740,781,76,4427
RRTASTAR,27,1,1895,843,61,9643
RRTASTAR,28,1,1640,838,65,9808
RRTASTAR,29,1,977,786,59,4395
RRTASTAR,30,1,1398,925,82,8076
RRTASTAR,31,1,986,1024,85,5616
RRTASTAR,32,0,3155,0,3,16696
RRTASTAR,33,1,583,851,64,3908
RRTASTAR,34,1,1659,836,69,8906
RRTASTAR,35,0,2241,0,1,14013
RRTASTAR,36,1,708,767,51,3036
RRTASTAR,37,1,524,909,72,3443
RRTASTAR,38,0,1844,0,1,9257
RRTASTAR,39,1,1805,796,65,11467
RRTASTAR,40,1,862,764,61,3996
RRTASTAR,41,1,548,917,77,3464
RRTASTAR,42,1,1252,906,79,7843
RRTASTAR,43,1,1582,902,70,8601
RRTASTAR,44,1,1254,929,77,7212
RRTASTAR,45,1,936,680,47,3571
RRTASTAR,46,1,612,736,58,3551
RRTASTAR,47,1,781,995,79,4687
RRTASTAR,48,0,2401,0,3,13904
RRTASTAR,49,1,810,838,71,5223
RRTASTAR,50,1,1238,951,73,6325
RRTASTAR,51,1,750,776,70,4655
RRTASTAR,52,1,927,855,73,5635
RRTASTAR,53,1,878,975,80,4253
RRTASTAR,54,1,2661,889,76,15032
RRTASTAR,55,1,1465,834,71,8917
RRTASTAR,56,1,1390,831,62,7191
RRTASTAR,57,1,1171,758,64,7358
RRTASTAR,58,1,1395,927,69,7353
RRTASTAR,59,1,801,909,66,5044
RRTASTAR,60,1,679,817,66,4225
RRTASTAR,61,0,2919,0,3,17033
RRTASTAR,62,1,746,853,61,3114
RRTASTAR,63,1,858,720,50,5332
RRTASTAR,64,1,337,784,59,2162
RRTASTAR,65,1,865,816,63,5120
RRTASTAR,66,1,1460,894,75,7014
RRTASTAR,67,1,866,915,70,5046
RRTASTAR,68,1,825,949,72,4421
RRTASTAR,69,1,3521,878,69,15158
RRTASTAR,70,1,1282,790,60,4326
RRTASTAR,71,1,1761,866,78,7767
RRTASTAR,72,1,1034,826,62,4698
