Type,Iteration,Success,Time,Frames,KeyPresses,StatesExplored
RRTASTAR,0,1,831,793,57,3496
RRTASTAR,1,1,1079,788,53,4479
RRTASTAR,2,0,2049,0,1,8452
RRTASTAR,3,1,1437,875,69,5608
RRTASTAR,4,0,1183,0,1,4575
RRTASTAR,5,1,1312,901,64,5050
RRTASTAR,6,1,1162,928,72,4950
RRTASTAR,7,1,892,831,52,3470
RRTASTAR,8,0,1904,0,1,7686
RRTASTAR,9,1,1070,780,62,4078
RRTASTAR,10,1,1085,862,71,4198
RRTASTAR,11,1,830,809,70,3348
RRTASTAR,12,1,1051,943,68,4129
RRTASTAR,13,1,957,751,62,3723
RRTASTAR,14,0,2013,0,3,7900
RRTASTAR,15,1,866,942,68,3153
RRTASTAR,16,1,588,708,53,2345
RRTASTAR,17,0,1533,105,7,5278
RRTASTAR,18,0,2045,0,1,8015
RRTASTAR,19,1,1211,914,67,4592
RRTASTAR,20,0,1787,0,1,6976
RRTASTAR,21,1,1205,884,71,4854
RRTASTAR,22,0,1281,0,1,4747
RRTASTAR,23,1,771,782,66,2838
RRTASTAR,24,1,966,770,55,3742
RRTASTAR,25,1,1708,887,69,6599
RRTASTAR,26,1,1933,888,77,7556
RRTASTAR,27,1,1432,757,60,5585
RRTASTAR,28,1,953,745,53,3702
RRTASTAR,29,1,988,672,46,3979
RRTASTAR,30,1,1438,881,81,5853
RRTASTAR,31,1,1448,959,83,5821
RRTASTAR,32,1,1432,859,71,5406
RRTASTAR,33,1,768,759,62,2830
RRTASTAR,34,1,1168,795,70,4571
RRTASTAR,35,1,796,797,50,3158
RRTASTAR,36,0,1825,6,1,7046
RRTASTAR,37,1,1897,814,68,7131
RRTASTAR,38,1,1207,690,49,4710
RRTASTAR,39,1,2420,947,74,8826
RRTASTAR,40,0,2044,0,3,7857
RRTASTAR,41,1,1762,869,72,6412
RRTASTAR,42,1,1273,784,66,4890
RRTASTAR,43,1,854,808,68,3310
RRTASTAR,44,1,1454,860,66,5609
RRTASTAR,45,0,1868,8,1,7469
RRTASTAR,46,0,1886,0,3,7465
RRTASTAR,47,1,467,788,52,1695
RRTASTAR,48,0,2287,12,4,8108
RRTASTAR,49,1,1937,956,69,7251
RRTASTAR,50,1,1546,836,64,5830
RRTASTAR,51,0,2030,0,3,7631
RRTASTAR,52,1,1830,787,49,6976
RRTASTAR,53,1,2136,1012,77,8148
RRTASTAR,54,1,1181,847,69,4612
RRTASTAR,55,0,2060,2,1,8091
RRTASTAR,56,0,1898,0,1,7697
RRTASTAR,57,1,1513,810,64,6042
RRTASTAR,58,1,1237,867,70,4544
RRTASTAR,59,1,610,878,70,2345
RRTASTAR,60,1,967,903,82,3694
RRTASTAR,61,1,1265,887,69,5029
RRTASTAR,62,1,1219,770,54,4698
RRTASTAR,63,1,1547,909,75,6055
RRTASTAR,64,0,2002,0,3,7928
RRTASTAR,65,0,1904,0,1,7793
RRTASTAR,66,0,1601,29,2,6467
RRTASTAR,67,1,608,802,67,2391
RRTASTAR,68,1,1470,920,88,5325
RRTASTAR,69,1,1046,752,56,4057
RRTASTAR,70,0,2239,5,1,8768
RRTASTAR,71,1,1205,776,65,4600
RRTASTAR,72,1,612,690,47,2329
RRTASTAR,73,1,1157,790,66,4343
RRTASTAR,74,0,1531,0,3,5702
RRTASTAR,75,0,2104,24,1,8052
RRTASTAR,76,1,899,762,55,3536
RRTASTAR,77,1,818,803,53,3158
RRTASTAR,78,0,1682,0,1,6606
RRTASTAR,79,1,836,882,74,3337
RRTASTAR,80,1,2244,988,91,7971
RRTASTAR,81,1,623,943,68,2478
RRTASTAR,82,1,591,765,52,2244
RRTASTAR,83,1,1236,665,51,4773
RRTASTAR,84,0,1889,13,3,6890
RRTASTAR,85,1,1498,948,79,5603
RRTASTAR,86,1,1272,861,70,4883
RRTASTAR,87,0,1837,0,1,7077
RRTASTAR,88,1,1652,807,66,6258
RRTASTAR,89,1,797,732,46,3069
RRTASTAR,90,1,1441,848,67,5420
RRTASTAR,91,1,493,713,52,1717
RRTASTAR,92,1,1067,758,61,4086
RRTASTAR,93,1,1477,716,55,5886
RRTASTAR,94,1,1041,785,57,4165
RRTASTAR,95,1,1586,870,76,6091
RRTASTAR,96,1,916,787,54,3494
RRTASTAR,97,0,1615,11,1,6311
RRTASTAR,98,1,866,712,50,3203
RRTASTAR,99,1,2282,966,78,8413
RRTASTAR,100,0,1862,2,2,7425
RRTASTAR,101,1,575,842,66,2205
