Type,Iteration,Success,Time,Frames,KeyPresses,StatesExplored
RRTASTAR,0,1,146,388,14,629
RRTASTAR,1,0,1863,0,3,6898
RRTASTAR,2,1,1437,678,45,4880
RRTASTAR,3,1,191,410,11,697
RRTASTAR,4,1,237,357,8,891
RRTASTAR,5,1,128,339,6,521
RRTASTAR,6,1,109,334,14,475
RRTASTAR,7,1,494,381,9,2141
RRTASTAR,8,1,109,316,5,368
RRTASTAR,9,0,2299,0,3,8163
RRTASTAR,10,0,2207,0,1,7756
RRTASTAR,11,0,1851,0,3,6088
RRTASTAR,12,1,127,306,6,469
RRTASTAR,13,0,2010,63,7,7664
RRTASTAR,14,1,150,324,4,600
RRTASTAR,15,1,474,501,37,1918
RRTASTAR,16,1,593,296,1,1746
RRTASTAR,17,1,120,347,10,492
RRTASTAR,18,0,1936,0,3,7108
RRTASTAR,19,1,126,309,6,277
RRTASTAR,20,0,2582,0,3,7058
RRTASTAR,21,1,282,315,6,1073
RRTASTAR,22,0,1768,0,1,6938
RRTASTAR,23,1,127,329,7,504
RRTASTAR,24,1,74,352,11,249
RRTASTAR,25,1,516,376,12,1375
RRTASTAR,26,1,127,322,12,458
RRTASTAR,27,1,69,296,1,229
RRTASTAR,28,1,55,335,9,206
RRTASTAR,29,1,241,319,5,910
RRTASTAR,30,1,222,327,4,942
RRTASTAR,31,1,74,313,9,277
RRTASTAR,32,1,150,340,12,575
RRTASTAR,33,0,1621,0,3,6176
RRTASTAR,34,1,154,298,4,616
RRTASTAR,35,0,1494,0,1,5071
RRTASTAR,36,0,2036,0,3,7558
RRTASTAR,37,1,57,400,19,205
RRTASTAR,38,1,761,307,7,2283
RRTASTAR,39,0,1712,0,3,6779
RRTASTAR,40,0,1768,0,3,6204
RRTASTAR,41,0,1716,0,3,6837
RRTASTAR,42,1,187,298,4,773
RRTASTAR,43,1,323,325,7,1309
RRTASTAR,44,0,1784,0,3,6403
RRTASTAR,45,0,1929,0,3,7789
RRTASTAR,46,1,112,388,19,441
RRTASTAR,47,0,2361,0,3,9074
RRTASTAR,48,1,104,343,8,383
RRTASTAR,49,0,2201,52,6,7824
RRTASTAR,50,1,571,524,48,2388
RRTASTAR,51,1,341,296,1,1461
RRTASTAR,52,1,93,296,1,391
RRTASTAR,53,1,1016,371,14,3757
RRTASTAR,54,1,94,320,6,300
RRTASTAR,55,1,298,366,14,987
RRTASTAR,56,0,2975,0,3,7716
RRTASTAR,57,1,186,325,12,515
RRTASTAR,58,1,154,324,9,453
RRTASTAR,59,1,425,321,8,1327
RRTASTAR,60,1,180,300,5,544
RRTASTAR,61,1,271,324,9,843
RRTASTAR,62,0,2828,0,3,7783
RRTASTAR,63,0,1910,0,3,7397
RRTASTAR,64,1,196,296,1,783
RRTASTAR,65,0,2451,0,3,8192
RRTASTAR,66,1,297,418,24,1072
RRTASTAR,67,0,2604,0,3,7164
RRTASTAR,68,1,288,361,14,848
RRTASTAR,69,1,920,417,15,2847
RRTASTAR,70,1,250,351,18,790
RRTASTAR,71,1,122,352,15,375
RRTASTAR,72,0,2666,53,4,8276
RRTASTAR,73,1,591,296,1,1211
RRTASTAR,74,1,252,381,18,784
RRTASTAR,75,0,2266,0,1,9370
RRTASTAR,76,1,359,345,12,1391
RRTASTAR,77,1,219,406,22,959
RRTASTAR,78,0,2100,0,1,7482
RRTASTAR,79,1,191,323,6,585
RRTASTAR,80,0,2670,0,1,7759
RRTASTAR,81,0,2106,0,3,7047
RRTASTAR,82,1,252,381,19,1212
RRTASTAR,83,0,2215,0,1,8461
RRTASTAR,84,1,1549,486,37,6419
RRTASTAR,85,1,212,370,10,969
RRTASTAR,86,1,171,347,9,734
RRTASTAR,87,1,192,300,4,791
RRTASTAR,88,1,95,384,16,379
RRTASTAR,89,1,470,436,23,1341
RRTASTAR,90,0,1631,0,3,6883
RRTASTAR,91,0,1483,0,3,6145
RRTASTAR,92,0,2044,0,3,7559
RRTASTAR,93,0,2735,51,8,7596
RRTASTAR,94,0,2829,0,3,8972
RRTASTAR,95,1,172,316,2,547
RRTASTAR,96,0,1978,0,1,6920
RRTASTAR,97,1,87,336,15,387
RRTASTAR,98,0,1721,0,3,5510
RRTASTAR,99,1,88,336,15,276
RRTASTAR,100,1,129,371,16,410
RRTASTAR,101,1,104,334,10,324
RRTASTAR,102,1,316,385,24,986
RRTASTAR,103,0,2345,7,1,6842
RRTASTAR,104,1,100,348,11,412
RRTASTAR,105,1,383,435,24,1800
RRTASTAR,106,0,1852,0,3,7886
RRTASTAR,107,1,940,410,12,2787
RRTASTAR,108,0,5374,19,4,18374
RRTASTAR,109,1,458,315,5,1272
RRTASTAR,110,0,2882,0,3,7342
RRTASTAR,111,0,2382,0,3,6182
RRTASTAR,112,1,91,324,9,246
RRTASTAR,113,0,3234,28,4,7768
RRTASTAR,114,1,646,358,5,1720
RRTASTAR,115,1,1995,596,63,5781
RRTASTAR,116,1,89,306,7,234
RRTASTAR,117,0,2642,0,1,6814
RRTASTAR,118,1,139,387,17,378
RRTASTAR,119,1,465,296,1,1737
RRTASTAR,120,1,410,341,9,1716
RRTASTAR,121,1,141,299,4,538
RRTASTAR,122,0,1927,0,3,7354
RRTASTAR,123,1,986,395,14,2852
RRTASTAR,124,1,424,423,24,1681
RRTASTAR,125,1,235,304,2,887
RRTASTAR,126,1,245,303,4,930
RRTASTAR,127,0,2216,0,3,8547
RRTASTAR,128,1,197,327,13,847
RRTASTAR,129,1,100,337,8,366
RRTASTAR,130,1,93,342,11,342
RRTASTAR,131,0,2147,0,3,7490
RRTASTAR,132,1,120,345,14,403
RRTASTAR,133,1,4551,563,53,17637
RRTASTAR,134,1,117,329,6,469
RRTASTAR,135,0,2108,0,3,6978
