Type,Iteration,Success,Time,Frames,KeyPresses,StatesExplored
RRTASTAR,0,1,1655,1083,102,6270
RRTASTAR,1,1,1589,922,71,5751
RRTASTAR,2,1,1457,917,73,5413
RRTASTAR,3,1,880,798,59,3373
RRTASTAR,4,1,2481,904,78,9112
RRTASTAR,5,1,2255,886,72,8121
RRTASTAR,6,1,1534,763,65,5584
RRTASTAR,7,1,694,839,56,2216
RRTASTAR,8,1,2230,803,69,8457
RRTASTAR,9,1,1679,995,77,6175
RRTASTAR,10,1,1453,893,70,5459
RRTASTAR,11,1,1451,690,50,5335
RRTASTAR,12,1,1154,822,61,4312
RRTASTAR,13,1,945,781,70,3528
RRTASTAR,14,1,1328,894,75,4982
RRTASTAR,15,1,1307,855,68,4615
RRTASTAR,16,1,2290,912,69,8345
RRTASTAR,17,1,1576,966,77,4886
RRTASTAR,18,1,889,831,69,3254
RRTASTAR,19,0,2254,0,1,7304
RRTASTAR,20,1,2026,875,63,6636
RRTASTAR,21,1,840,936,68,3060
RRTASTAR,22,1,1642,883,65,6246
RRTASTAR,23,1,828,922,64,3071
RRTASTAR,24,1,930,712,52,3537
RRTASTAR,25,1,849,753,56,3220
RRTASTAR,26,1,1885,841,65,6924
RRTASTAR,27,1,1015,878,71,3661
RRTASTAR,28,1,706,747,56,2668
RRTASTAR,29,1,1194,923,69,4117
RRTASTAR,30,1,1657,769,59,4732
RRTASTAR,31,1,1423,730,53,4063
RRTASTAR,32,1,2216,859,67,6433
RRTASTAR,33,1,1049,791,61,3010
RRTASTAR,34,0,4251,18,3,11863
RRTASTAR,35,1,2871,806,70,8176
RRTASTAR,36,1,2702,953,76,7535
RRTASTAR,37,0,1970,0,1,4821
RRTASTAR,38,1,3328,962,81,9230
RRTASTAR,39,1,1445,916,70,5394
RRTASTAR,40,1,1329,959,80,4844
RRTASTAR,41,1,1003,774,62,3695
RRTASTAR,42,1,1585,843,68,6169
RRTASTAR,43,1,1333,981,81,4843
RRTASTAR,44,1,1121,914,73,4226
RRTASTAR,45,1,1035,905,73,3876
RRTASTAR,46,1,1548,958,79,6011
RRTASTAR,47,1,1229,953,75,4561
RRTASTAR,48,1,674,780,52,2423
RRTASTAR,49,1,881,763,60,3424
RRTASTAR,50,1,758,810,65,2813
RRTASTAR,51,1,1289,764,64,4837
RRTASTAR,52,1,1610,958,86,5851
RRTASTAR,53,1,1073,934,78,4064
RRTASTAR,54,1,1610,922,83,6018
RRTASTAR,55,1,1031,838,53,3963
RRTASTAR,56,1,1057,938,81,4034
RRTASTAR,57,1,907,829,67,3454
RRTASTAR,58,1,1419,917,89,5596
RRTASTAR,59,1,1137,793,61,4463
RRTASTAR,60,1,1306,1038,78,4825
RRTASTAR,61,1,2337,913,81,8983
RRTASTAR,62,1,1004,811,56,3572
RRTASTAR,63,1,2203,903,85,8207
RRTASTAR,64,1,1418,825,67,5518
RRTASTAR,65,1,808,755,57,3120
RRTASTAR,66,1,1735,800,65,6512
RRTASTAR,67,1,1412,737,61,5420
RRTASTAR,68,0,3488,0,3,12684
RRTASTAR,69,1,1284,906,58,4683
RRTASTAR,70,1,593,813,51,2202
RRTASTAR,71,1,999,1060,95,3807
RRTASTAR,72,1,1716,825,66,6476
RRTASTAR,73,1,917,805,67,3438
RRTASTAR,74,0,2714,4,1,10103
RRTASTAR,75,1,1219,763,64,4816
RRTASTAR,76,1,2304,827,64,8943
RRTASTAR,77,1,809,743,54,3054
RRTASTAR,78,1,1431,842,69,5424
RRTASTAR,79,1,805,975,75,3110
RRTASTAR,80,0,3639,14,1,14410
RRTASTAR,81,1,897,797,71,3411
RRTASTAR,82,1,1622,790,69,6229
RRTASTAR,83,1,782,885,76,3078
RRTASTAR,84,1,985,793,64,3895
RRTASTAR,85,0,3018,0,3,11799
RRTASTAR,86,1,1826,840,61,7006
RRTASTAR,87,1,1083,794,60,4181
RRTASTAR,88,1,2093,1043,87,8041
RRTASTAR,89,0,3338,26,2,13498
RRTASTAR,90,1,1090,920,73,4188
RRTASTAR,91,1,1552,880,72,6359
RRTASTAR,92,1,1229,954,79,5099
RRTASTAR,93,1,1408,854,66,5317
RRTASTAR,94,1,880,808,66,3394
RRTASTAR,95,0,2804,6,1,11225
RRTASTAR,96,1,776,841,73,3252
RRTASTAR,97,1,1103,902,75,3951
RRTASTAR,98,1,1071,797,68,3930
RRTASTAR,99,1,1546,841,62,4360
RRTASTAR,100,1,2478,901,77,6746
RRTASTAR,101,1,932,803,59,2602
RRTASTAR,102,1,1244,882,61,3505
RRTASTAR,103,1,1672,749,60,5207
RRTASTAR,104,1,1723,809,57,5186
RRTASTAR,105,1,1365,855,62,4141
RRTASTAR,106,0,3980,0,1,12568
RRTASTAR,107,1,1712,1054,69,5133
RRTASTAR,108,1,1897,958,82,5592
RRTASTAR,109,1,1626,854,76,4930
RRTASTAR,110,1,1388,766,61,4221
