Type,Iteration,Success,Time,Frames,KeyPresses,StatesExplored
RRTUCT,0,1,11160,724,77,51145
RRTUCT,1,1,11491,1944,133,49836
RRTUCT,2,0,8950,0,1,31480
RRTUCT,3,1,5537,1254,62,29374
RRTUCT,4,0,13984,536,1,66570
RRTUCT,5,0,7657,310,5,40866
RRTUCT,6,0,10947,0,1,50704
RRTUCT,7,0,14704,0,3,64516
RRTUCT,8,0,17549,0,3,79730
RRTUCT,9,0,16460,0,3,74274
RRTUCT,10,1,6166,1077,60,28516
RRTUCT,11,0,15527,0,3,70484
RRTUCT,12,0,17904,0,2,80691
RRTUCT,13,1,4769,1066,44,19686
RRTUCT,14,0,18169,0,3,81443
RRTUCT,15,0,15464,0,1,69916
RRTUCT,16,1,13196,1866,117,60844
RRTUCT,17,0,12644,702,4,59220
RRTUCT,18,1,11692,1006,56,50960
RRTUCT,19,1,7058,643,84,32067
RRTUCT,20,0,11154,0,2,47443
RRTUCT,21,0,11696,0,1,50115
RRTUCT,22,0,14382,0,3,64993
RRTUCT,23,0,15031,268,3,65242
RRTUCT,24,1,12413,1345,70,53407
RRTUCT,25,0,14267,0,2,61717
RRTUCT,26,0,12406,0,3,54698
RRTUCT,27,0,13825,350,1,58250
RRTUCT,28,1,13267,1226,61,57169
RRTUCT,29,0,15259,208,1,68005
RRTUCT,30,1,12413,1247,72,68243
RRTUCT,31,0,13294,641,4,67933
RRTUCT,32,0,16159,100,1,68566
RRTUCT,33,0,17312,0,1,72306
RRTUCT,34,0,16615,0,1,68226
RRTUCT,35,0,15222,207,3,62390
RRTUCT,36,0,16953,0,2,70097
RRTUCT,37,0,11653,0,3,50046
RRTUCT,38,0,16215,25,1,66665
RRTUCT,39,1,10917,1279,68,43296
RRTUCT,40,1,6768,905,47,28715
RRTUCT,41,0,17151,0,1,69978
RRTUCT,42,0,17066,261,2,69900
RRTUCT,43,0,14850,0,2,61993
RRTUCT,44,0,19208,0,1,78058
RRTUCT,45,1,11649,1079,70,45859
RRTUCT,46,0,13814,255,2,54628
RRTUCT,47,0,12882,26,1,52860
RRTUCT,48,0,17056,113,2,68485
RRTUCT,49,0,20362,0,3,80824
RRTUCT,50,1,7369,1338,85,29778
RRTUCT,51,1,10634,1957,130,40554
RRTUCT,52,1,7247,706,86,29300
RRTUCT,53,0,14813,0,1,57229
RRTUCT,54,0,13291,162,2,51795
RRTUCT,55,0,13236,0,3,50667
RRTUCT,56,1,14212,1459,81,54186
RRTUCT,57,0,15673,0,3,63302
RRTUCT,58,0,14528,0,3,55998
RRTUCT,59,0,18718,0,2,72501
